Series ID,Year,Period,Label,Value
LAUCN290950000000003,2019,M01,2019 Jan,4.3
LAUCN290950000000003,2019,M02,2019 Feb,4
LAUCN290950000000003,2019,M03,2019 Mar,4.2
LAUCN290950000000003,2019,M04,2019 Apr,3.1
LAUCN290950000000003,2019,M05,2019 May,3.4
LAUCN290950000000003,2019,M06,2019 Jun,3.8
LAUCN290950000000003,2019,M07,2019 Jul,4.5
LAUCN290950000000003,2019,M08,2019 Aug,4
LAUCN290950000000003,2019,M09,2019 Sep,3
LAUCN290950000000003,2019,M10,2019 Oct,3.2
LAUCN290950000000003,2019,M11,2019 Nov,3.4
LAUCN290950000000003,2019,M12,2019 Dec,3.7
LAUCN290950000000003,2020,M01,2020 Jan,4.3
LAUCN290950000000003,2020,M02,2020 Feb,3.9
LAUCN290950000000003,2020,M03,2020 Mar,4.4
LAUCN290950000000003,2020,M04,2020 Apr,11.4
LAUCN290950000000003,2020,M05,2020 May,11.6
LAUCN290950000000003,2020,M06,2020 Jun,8.8
LAUCN290950000000003,2020,M07,2020 Jul,8.6
LAUCN290950000000003,2020,M08,2020 Aug,8.8
LAUCN290950000000003,2020,M09,2020 Sep,5.5
LAUCN290950000000003,2020,M10,2020 Oct,4.9
LAUCN290950000000003,2020,M11,2020 Nov,5
LAUCN290950000000003,2020,M12,2020 Dec,6.9
LAUCN290950000000004,2019,M01,2019 Jan,15455
LAUCN290950000000004,2019,M02,2019 Feb,14549
LAUCN290950000000004,2019,M03,2019 Mar,15008
LAUCN290950000000004,2019,M04,2019 Apr,11260
LAUCN290950000000004,2019,M05,2019 May,12159
LAUCN290950000000004,2019,M06,2019 Jun,13840
LAUCN290950000000004,2019,M07,2019 Jul,16710
LAUCN290950000000004,2019,M08,2019 Aug,14823
LAUCN290950000000004,2019,M09,2019 Sep,10914
LAUCN290950000000004,2019,M10,2019 Oct,11789
LAUCN290950000000004,2019,M11,2019 Nov,12406
LAUCN290950000000004,2019,M12,2019 Dec,13453
LAUCN290950000000004,2020,M01,2020 Jan,15683
LAUCN290950000000004,2020,M02,2020 Feb,14354
LAUCN290950000000004,2020,M03,2020 Mar,16106
LAUCN290950000000004,2020,M04,2020 Apr,40281
LAUCN290950000000004,2020,M05,2020 May,41145
LAUCN290950000000004,2020,M06,2020 Jun,31967
LAUCN290950000000004,2020,M07,2020 Jul,31744
LAUCN290950000000004,2020,M08,2020 Aug,32069
LAUCN290950000000004,2020,M09,2020 Sep,19584
LAUCN290950000000004,2020,M10,2020 Oct,17235
LAUCN290950000000004,2020,M11,2020 Nov,17657
LAUCN290950000000004,2020,M12,2020 Dec,25125
