Series ID,Date,Value
LAUCN290950000000004,2019-01-01,15455
LAUCN290950000000004,2019-02-01,14549
LAUCN290950000000004,2019-03-01,15008
LAUCN290950000000004,2019-04-01,11260
LAUCN290950000000004,2019-05-01,12159
LAUCN290950000000004,2019-06-01,13840
LAUCN290950000000004,2019-07-01,16710
LAUCN290950000000004,2019-08-01,14823
LAUCN290950000000004,2019-09-01,10914
LAUCN290950000000004,2019-10-01,11789
LAUCN290950000000004,2019-11-01,12406
LAUCN290950000000004,2019-12-01,13453
LAUCN290950000000004,2020-01-01,15683
LAUCN290950000000004,2020-02-01,14354
LAUCN290950000000004,2020-03-01,16106
LAUCN290950000000004,2020-04-01,40281
LAUCN290950000000004,2020-05-01,41145
LAUCN290950000000004,2020-06-01,31967
LAUCN290950000000004,2020-07-01,31744
LAUCN290950000000004,2020-08-01,32069
LAUCN290950000000004,2020-09-01,19584
LAUCN290950000000004,2020-10-01,17235
LAUCN290950000000004,2020-11-01,17657
LAUCN290950000000004,2020-12-01,25125
