Column1,Date,COVID-19 Cases,COVID-19 Deaths,COVID-19 New Cases,Crimes,Unemployment Rate (%),Unemployment
0,1/1/2020,0,0,0,0,4.3,15683
1,2/1/2020,0,0,0,0,3.9,14354
2,3/1/2020,360,12,77,0,4.4,16106
3,4/1/2020,6908,253,246,0,11.4,40281
4,5/1/2020,13746,497,273,0,11.6,41145
5,6/1/2020,26685,795,616,0,8.8,31967
6,7/1/2020,63490,1444,2110,0,8.6,31744
7,8/1/2020,139952,2099,2201,0,8.8,32069
8,9/1/2020,199999,2685,2067,0,5.5,19584
9,10/1/2020,277068,3596,2762,11871,4.9,17235
10,11/1/2020,418167,4773,6899,13219,5,17657
11,12/1/2020,643827,6425,6046,14590,6.9,25125
